Country,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Euro area,7.44463,7.38174,7.95882,8.17524,8.30832,8.41143,8.50668,8.49832,8.36801,8.42372,8.26302,8.21929,8.44022,8.30716,8.44824,8.25248,8.10435,8.15002,8.35756,8.62785,8.36837,8.31104,7.7843,7.8274,7.67203,7.84719,7.78185,7.80436,8.0334,8.42742,8.99648,9.20529,8.81067,8.47683,8.76509,8.02563,8.54534,8.64537,8.10257,7.63149,7.36305,6.77015,6.41091,6.0481,5.72822,5.55404,5.37639,5.18056,4.76253,4.41513,4.22338
European Union,7.35143,7.20896,7.82218,8.01937,8.1472,8.15449,8.2309,8.2431,8.08945,8.17416,8.02101,7.99653,8.25952,8.26424,8.49622,8.2598,8.1306,8.24693,8.43811,8.70324,8.60758,9.02788,8.80516,8.95036,8.80772,8.85298,8.65218,8.73034,8.87859,9.10423,9.67993,9.99672,9.62574,9.36002,9.43494,8.89731,9.115,9.29973,8.89944,8.61289,8.44739,7.96501,7.55289,7.18692,7.07883,6.92587,6.75491,6.54001,6.17759,5.8923,5.73323
Faeroe Islands,14.3482,13.4555,14.4903,15.614,15.5098,15.5909,16.3121,16.0927,15.9732,16.8043,15.3018,14.5757,14.6517,14.2013,14.4822,16.3813,13.9745,15.5504,14.0917,12.5075,12.9789,12.0442,11.0496,10.5673,10.567,11.2794,11.0239,10.9203,10.3928,10.1022,9.80481,11.3115,9.52899,9.82066,8.05462,8.59545,7.49561,6.3684,5.9626,6.67873,6.65224,5.57295,4.86107,4.5274,3.78616,3.73124,3.36647,3.50712,3.33809,3.27316,1.71225
Fiji,1.49994,0.993663,1.27759,1.43977,1.64294,1.65854,1.38353,1.05448,1.02431,1.36832,1.06624,0.99531,0.879403,0.929352,1.14032,1.12054,1.06802,1.01035,0.970523,0.917736,1.12275,0.870739,0.766171,0.660635,0.842117,0.81413,0.832464,1.04325,1.25669,1.66178,1.25263,1.35107,1.16748,1.28106,0.823874,1.08116,1.18691,1.13827,1.06738,1.0347,1.00036,0.849011,0.793839,0.729024,0.677465,0.743069,0.944323,0.554832,0.547994,0.414297,0.49405
Finland,11.5308,9.95863,10.651,12.0978,12.5699,10.4164,12.8327,13.2147,11.7443,10.8759,10.0732,10.7295,11.0583,11.672,11.9586,10.3424,11.3001,9.98095,9.49189,10.72,10.3772,10.5924,10.5499,11.6899,10.8433,10.1313,8.65558,8.56225,8.92566,10.7314,12.1867,11.4035,10.9234,10.5973,10.8512,9.78502,9.95207,10.5843,9.51831,8.79913,8.76964,8.20434,7.20089,6.21339,6.44405,5.54984,5.02419,4.27963,3.74257,3.34888,3.40985
France,5.55607,5.51635,5.78775,5.87201,6.01374,6.206,6.22152,6.22711,6.16214,6.28836,6.00153,6.13781,6.79726,6.3286,6.83033,6.60539,6.2276,6.58328,6.74668,7.30343,6.8316,6.72216,6.43916,6.56704,6.7468,7.05462,7.1755,7.52635,7.8273,8.19203,9.15105,9.624,9.23571,8.81241,9.30647,8.27121,9.29942,9.70339,9.10872,8.83857,8.45952,8.02155,7.516,7.31882,6.88541,7.04473,6.99544,6.85914,6.22433,5.94605,5.81421
French Polynesia,3.29676,3.28827,3.30603,3.23939,3.3009,3.33777,3.13094,3.21646,3.00804,3.05487,2.65829,2.50285,2.60116,2.67157,2.6422,2.65823,2.54768,2.95685,3.14413,3.15839,3.17953,3.13372,3.01489,3.29114,3.36013,3.34871,2.69004,2.54636,2.09695,2.11233,1.93379,1.91691,2.17918,1.98049,1.95946,1.62829,1.71053,1.7083,1.82918,1.98891,1.7589,1.50993,1.48971,1.39303,1.25102,0.902622,0.732326,0.760096,0.569859,0.726984,0.469628
Gabon,1.65416,0.0531045,1.05595,1.61132,1.3989,1.51256,1.31205,1.01442,1.3837,1.41971,0.858756,1.20197,1.39887,3.11759,3.18841,3.57035,3.18363,3.20017,2.13304,1.51953,5.11682,6.26481,4.83518,4.61235,5.8549,7.64897,7.45419,7.04358,8.58599,8.82987,9.13148,9.52572,10.9184,9.32964,8.62418,8.28248,8.58283,8.52373,4.47597,4.73719,3.53527,2.48388,3.4718,1.82986,0.703767,0.406754,0.364432,0.142197,0.172786,0.327565,0.264647
Gambia The,0.281466,0.267988,0.260271,0.258948,0.227591,0.224633,0.231833,0.233853,0.241348,0.222911,0.223804,0.215138,0.202444,0.191975,0.197415,0.203006,0.201643,0.20731,0.202128,0.208554,0.207986,0.20392,0.217482,0.223449,0.210473,0.23542,0.245828,0.239663,0.248916,0.252123,0.260901,0.250669,0.245402,0.206003,0.184577,0.190011,0.123319,0.127259,0.139095,0.119526,0.106579,0.109387,0.0861791,0.079269,0.0808536,0.0731817,0.0743527,0.0754003,0.0669291,0.0584016,0.049833
Ghana,0.370888,0.314206,0.369078,0.425213,0.42321,0.325303,0.352699,0.375881,0.37585,0.358653,0.334071,0.356242,0.356316,0.364019,0.335322,0.323798,0.310385,0.293226,0.264744,0.268875,0.26872,0.234968,0.249087,0.243723,0.232535,0.26154,0.209682,0.307337,0.264922,0.274082,0.236942,0.251969,0.286848,0.294722,0.242912,0.279362,0.305823,0.264722,0.266838,0.260046,0.305401,0.201308,0.214546,0.185679,0.182625,0.22114,0.219624,0.235976,0.202351,0.195985,0.219937
Greece,7.77492,8.48317,8.74361,8.80106,8.74245,8.89535,8.78728,8.68898,8.52806,8.56533,8.39171,7.96103,8.10438,7.84782,7.50714,7.44615,7.42571,7.22816,7.28105,6.59262,7.16005,7.35254,6.77393,6.34683,5.93249,6.10016,5.76556,5.64092,5.32697,5.21329,5.33364,5.37208,5.09882,5.04915,4.67028,4.2971,4.04138,4.17251,3.55205,3.1496,2.74833,2.90383,2.55367,2.24941,2.16521,1.99125,1.55376,1.44567,1.2032,1.16978,1.12892
Greenland,11.1482,9.89621,11.3275,10.893,11.0448,10.6915,10.245,9.36695,9.52232,9.56609,9.46112,9.67408,9.47799,9.36395,9.2495,9.06892,9.11795,9.10107,8.75306,9.91081,10.0249,8.55412,9.97049,4.33804,6.10024,9.58107,10.7853,6.968,10.0397,10.3539,11.2494,11.5333,7.97498,14.6235,4.42696,10.2025,11.2603,11.3752,11.4641,9.94441,8.21914,9.06541,12.505,9.97704,9.59758,8.79332,8.38729,9.06676,7.54354,8.70504,6.88268
Grenada,2.48724,2.42601,2.50507,2.30103,2.23727,2.10151,2.00041,2.11346,2.0113,1.90823,1.87644,1.9159,1.73754,1.74058,1.60074,1.57283,1.47561,1.26832,1.24496,1.17855,1.14253,1.05993,0.972253,0.737968,0.659098,0.62397,0.633269,0.649493,0.669657,0.647773,0.535605,0.538224,0.576378,0.52858,0.521365,0.515624,0.393662,0.587478,0.507478,0.506169,0.465996,0.503485,0.425159,0.386154,0.309197,0.232631,0.2339,0.157122,0.277731,0.200909,0.244845
Guatemala,0.775253,0.846695,0.838275,0.948832,0.963918,0.982192,0.939595,0.870632,0.943106,0.925776,0.884988,0.81605,0.818731,0.727109,0.651217,0.71769,0.700971,0.593564,0.646151,0.555373,0.572097,0.488751,0.485819,0.481182,0.456289,0.444955,0.442532,0.421469,0.492905,0.552873,0.644243,0.687007,0.619142,0.585841,0.521294,0.568916,0.508534,0.499807,0.473818,0.438846,0.424552,0.432701,0.417324,0.397071,0.358069,0.417341,0.384159,0.339066,0.316414,0.331067,0.32502
Guinea,0.113624,0.115965,0.117675,0.120445,0.1205,0.123301,0.143089,0.14581,0.146344,0.145932,0.146326,0.147944,0.146988,0.154256,0.157194,0.159553,0.163486,0.154673,0.159547,0.169155,0.175428,0.181728,0.185472,0.185296,0.191379,0.196122,0.198773,0.198908,0.210276,0.216504,0.214531,0.213035,0.204766,0.205803,0.203217,0.193876,0.193855,0.186278,0.194237,0.191451,0.188176,0.180045,0.182909,0.180706,0.182189,0.179792,0.183835,0.18588,0.178894,0.169583,0.114828
Guinea-Bissau,0.150228,0.151323,0.149879,0.155639,0.148936,0.149619,0.145015,0.142846,0.115726,0.115496,0.115196,0.156039,0.141463,0.221558,0.245418,0.247756,0.250116,0.25586,0.244538,0.246647,0.248699,0.232225,0.222353,0.20419,0.196947,0.189325,0.181373,0.164589,0.16839,0.171861,0.179254,0.136074,0.128021,0.128872,0.12077,0.146096,0.134814,0.148456,0.0918233,0.104977,0.102015,0.087229,0.0935121,0.0718241,0.0997354,0.100105,0.0894314,0.0730949,0.0622896,0.0456818,0.0288306
Guyana,2.1644,1.99065,2.00902,2.03244,1.68649,1.88451,2.15096,2.07774,2.10554,2.13353,2.16236,2.27132,2.24238,2.18304,2.09223,2.0346,1.83896,1.45867,1.45563,1.55145,1.57292,1.64123,1.9159,1.772,1.40256,1.88784,1.85143,1.62869,1.8202,2.32124,2.3033,1.96408,2.67293,2.491,2.32088,2.43854,2.08984,2.43792,2.12278,2.05488,2.19262,1.93094,1.92067,1.95881,1.79456,1.68311,1.0405,1.01404,1.14659,1.27968,1.17806
Haiti,0.214171,0.231695,0.251867,0.251309,0.224973,0.224117,0.217692,0.192802,0.206122,0.179981,0.159449,0.15784,0.148704,0.174869,0.136821,0.120233,0.0390969,0.0879693,0.122896,0.13748,0.139767,0.148988,0.149985,0.136741,0.129089,0.147497,0.146213,0.146663,0.138462,0.13164,0.13207,0.135637,0.138515,0.132421,0.128728,0.0941021,0.0936416,0.0849425,0.0803913,0.0840786,0.081694,0.0681609,0.0581719,0.0585091,0.0697812,0.0711933,0.0717566,0.0607091,0.0755974,0.0752602,0.0739221
Heavily indebted poor countries (HIPC),0.214338,0.20377,0.200962,0.200667,0.192835,0.185924,0.190445,0.182643,0.169319,0.168036,0.167663,0.167538,0.169804,0.183016,0.180797,0.177539,0.170258,0.16777,0.168357,0.169134,0.176882,0.204461,0.198639,0.188411,0.174318,0.202367,0.19525,0.206427,0.210356,0.211077,0.220568,0.209326,0.211548,0.208681,0.206893,0.218133,0.224422,0.225674,0.216049,0.216439,0.206936,0.195977,0.182413,0.163308,0.153754,0.151174,0.132675,0.125005,0.121108,0.123821,0.120335
High income,11.586,11.222,11.9925,12.2299,12.2179,12.2551,12.3015,12.1604,12.0053,12.0063,12.1339,11.8358,11.8366,11.9117,11.9503,11.756,11.8177,11.9608,12.0764,11.983,11.8532,12.0669,11.8472,11.5027,11.2628,11.3038,11.2495,11.035,11.1409,11.6738,12.2777,12.6491,12.4184,12.2116,12.0705,11.5388,12.0379,12.4498,11.9352,11.47,11.3492,10.5368,9.99638,9.57174,9.24566,8.94534,8.66332,8.34974,8.01034,7.75235,7.70143
High income: OECD,11.3427,11.1068,11.8982,12.2409,12.2151,12.3674,12.4486,12.358,12.2557,12.2751,12.4155,12.1871,12.2215,12.2969,12.2584,11.9809,11.8951,11.831,11.8409,11.8274,11.7391,11.9922,11.7861,11.4569,11.1734,11.2619,11.2213,11.0002,11.1103,11.6292,12.221,12.6429,12.417,12.2172,12.0901,11.5964,12.0991,12.5166,12.03,11.5829,11.4983,10.699,10.1909,9.75693,9.44374,9.13376,8.8505,8.54275,8.19551,7.94234,7.90124
Honduras,1.06384,1.053,1.18438,1.22294,0.995767,1.09497,1.0894,1.02129,0.937665,0.897588,0.806844,0.776344,0.777531,0.710504,0.69193,0.6938,0.611481,0.535591,0.593839,0.535309,0.528697,0.572324,0.540758,0.483449,0.423261,0.44999,0.483413,0.502001,0.455968,0.48589,0.565804,0.548497,0.600527,0.60544,0.554933,0.536881,0.516803,0.515951,0.540011,0.481167,0.5164,0.449275,0.479891,0.352499,0.333331,0.319529,0.316458,0.321733,0.327409,0.356228,0.307669
Hong Kong SAR China,5.16623,5.30581,5.54387,5.77808,5.62262,5.9511,5.66308,5.95258,5.47921,5.65536,6.07132,6.47144,5.99557,4.75462,4.56302,5.13646,5.20758,5.9532,5.76302,5.023,4.84884,5.33715,5.23894,5.05725,4.65162,4.21797,4.13989,3.93175,3.74258,3.60588,3.29104,3.2224,3.37513,3.10483,2.76851,2.46982,2.46373,2.19159,2.25164,2.2644,2.12203,2.00817,1.63162,1.62724,1.4234,1.33618,1.20538,1.24238,1.11501,1.06488,0.960982
Hungary,5.05825,4.85658,5.44487,5.55496,5.68289,5.74167,5.67439,5.83162,5.52183,5.5972,5.60556,5.8962,5.91988,6.00626,6.08059,5.81453,5.61465,5.80417,5.6614,6.1152,6.06855,7.25933,7.38592,7.95613,7.85828,8.08594,8.51638,8.33881,8.11461,8.08621,8.10935,8.05571,8.25355,7.81405,7.54943,7.15238,7.07174,7.00424,6.67703,6.68246,6.77149,6.06091,5.96292,5.75824,6.06504,6.04004,6.16624,5.57905,5.02504,4.88333,4.54447
Iceland,6.16853,6.44749,6.67748,7.41483,7.49619,7.42708,7.64602,7.48546,7.55023,7.37343,7.69378,7.45613,7.66727,7.76334,8.22265,7.28004,7.55398,7.55022,7.00932,6.85615,7.81388,7.52683,7.40037,7.5321,7.34365,6.74447,7.57863,6.53006,6.83662,7.59605,8.18146,8.80463,8.61233,8.59715,7.74528,7.41882,8.09364,8.2557,7.10125,7.15259,6.79811,6.22079,7.91682,7.26939,7.65013,7.26588,6.92718,7.03168,6.57486,6.10385,6.91319
India,1.66621,1.66557,1.54197,1.39023,1.31582,1.25195,1.2142,1.172,1.13939,1.13624,1.13855,1.11646,1.06367,1.05399,1.02988,0.962589,0.921657,0.884042,0.867092,0.832462,0.79478,0.778677,0.727121,0.68791,0.658199,0.627404,0.584649,0.57798,0.544703,0.52415,0.49871,0.485981,0.476572,0.484222,0.414182,0.405317,0.381565,0.37756,0.375085,0.36257,0.351483,0.351252,0.352692,0.331406,0.337686,0.333309,0.308953,0.32261,0.30658,0.284332,0.268201
Indonesia,1.80321,1.90792,1.76051,1.62593,1.51561,1.52348,1.52573,1.4522,1.42643,1.39127,1.26075,1.17501,1.03557,1.39294,1.2851,1.15882,1.15871,1.16265,1.0955,0.988692,0.837279,0.746418,0.767203,0.729846,0.734386,0.746316,0.70513,0.674104,0.692195,0.672794,0.651466,0.668957,0.676476,0.607916,0.466902,0.417642,0.406573,0.399458,0.361246,0.333238,0.314052,0.300318,0.254575,0.232578,0.227307,0.246087,0.228914,0.238764,0.246998,0.286426,0.241331
Iran Islamic Rep.,7.67653,7.85232,7.85256,7.517,7.1839,6.69013,6.45323,6.11088,5.9382,5.96531,5.65463,5.90073,4.85347,4.31673,4.50395,4.5235,4.45542,4.03117,3.92872,3.96776,3.74606,3.48289,3.31046,3.10915,3.00499,3.38574,3.30207,3.41859,3.28137,2.79395,3.11176,4.38103,4.49486,4.69351,4.62845,4.24746,4.51953,4.18697,3.52484,3.46757,3.21673,2.98433,3.0393,2.57416,2.49688,2.1486,1.95137,1.74127,1.61963,1.6215,1.70287
Iraq,3.70343,3.5358,3.20911,2.18624,3.54704,4.19219,4.27705,3.50999,3.45745,3.48096,3.04377,3.13034,3.23274,3.1488,3.30686,3.82563,3.80327,3.49309,3.32514,2.63309,3.00016,4.29039,4.07413,3.24391,2.99549,2.86813,2.64457,2.6142,2.12131,2.28707,3.33682,3.99686,3.29067,3.5077,4.04369,2.83767,2.73526,2.79834,2.788,2.81428,2.41066,2.36036,2.12916,2.05576,3.20236,2.30594,1.11741,1.19089,1.1769,1.16652,1.13384
Ireland,8.77155,8.95693,9.58254,10.135,10.1676,10.4653,10.7994,10.8436,11.1298,11.4195,10.8656,10.7018,10.2937,9.93757,9.79074,9.10948,9.10728,8.7372,8.80262,8.85147,8.93799,8.5497,8.46595,8.5303,8.05878,7.55355,7.22724,7.32335,7.32916,7.54109,7.69331,8.11821,7.08043,7.18049,6.88543,6.91425,7.4275,7.40779,7.26191,7.51894,6.56458,6.31329,6.11261,5.65505,5.23114,4.77285,4.96472,4.71897,4.62634,4.37796,3.95273
Israel,9.26803,8.9544,9.70585,9.25113,9.35348,8.69326,9.28194,9.7347,9.61122,10.2111,9.96836,10.1479,10.514,10.864,9.55726,9.78087,8.72772,8.58166,8.10061,6.93388,7.19629,7.02882,6.76521,6.26806,6.19355,5.87517,5.70902,5.83147,5.974,5.36238,5.45322,5.55183,5.739,5.50608,5.55084,5.68677,5.7584,5.89092,5.37935,5.29439,5.57448,5.15062,4.92684,4.93342,5.17202,5.05053,3.69663,3.4512,3.4639,3.23569,3.05985
Italy,6.85433,6.79565,7.60176,7.91735,8.07215,8.16603,8.19564,8.17175,7.93271,7.90443,7.92806,7.73328,7.82519,7.67551,7.60173,7.56994,7.16667,7.24801,7.40417,7.46676,7.3617,7.21536,6.88301,6.77841,6.4749,6.57562,6.49825,6.38859,6.53799,6.69042,6.89248,6.88,6.64649,6.36535,6.59232,6.17433,6.52151,6.47144,6.04932,5.76232,5.51339,5.04331,4.68661,4.43148,4.07944,3.6415,3.40505,3.2151,2.8785,2.46456,2.17844
Jamaica,2.66015,3.20423,4.47133,5.06291,4.53081,4.02682,4.06772,4.08516,3.93866,4.07858,3.98509,3.79622,3.805,4.19508,4.06304,3.91245,3.50899,3.44764,3.34156,3.39717,3.33252,2.83336,1.92189,2.29012,1.94826,2.18329,2.25659,2.87855,2.8268,3.42907,3.9627,4.05713,4.38389,3.61643,3.57393,4.06777,3.82792,4.24237,3.26669,3.03515,2.67226,2.31556,2.12937,2.14463,1.97424,1.70015,2.34424,1.40492,1.26277,1.28973,0.902679
Japan,9.18565,8.62863,9.45088,9.79204,9.63792,9.69047,9.85946,9.68876,9.54726,9.45557,9.6129,9.45947,9.1691,9.52988,9.58652,9.43842,9.39515,8.90155,9.04437,8.88086,8.8624,8.32995,8.06669,7.41846,7.53405,7.58068,7.83325,7.41109,7.5999,7.90159,8.11402,8.24735,7.86686,8.2135,8.05972,7.77267,8.31388,8.47296,7.96146,7.54556,7.36809,6.33852,5.56659,4.86356,4.20626,3.91291,3.67304,3.35932,3.05974,2.98198,2.51654
Jordan,3.4438,3.59323,3.58841,3.80497,3.74516,3.8859,3.63719,3.38296,3.35183,3.25458,3.2328,3.11237,3.16365,3.2336,3.28038,3.23168,3.35728,3.09808,3.28586,2.76396,3.28179,3.02144,3.15949,3.39513,3.38235,3.23012,3.27418,2.99823,2.66662,2.58619,2.16725,1.8079,1.80165,1.62569,1.5733,1.37766,1.27569,1.30411,1.17403,1.05314,1.03347,1.2253,1.10907,1.1072,1.3198,1.26134,1.17164,1.22185,1.11205,1.09831,0.881992
Kenya,0.303782,0.31012,0.264149,0.260414,0.260478,0.23927,0.218854,0.199222,0.241463,0.291636,0.333001,0.333751,0.337906,0.285569,0.330972,0.275512,0.246168,0.245658,0.221306,0.199712,0.248362,0.229079,0.218712,0.244775,0.204099,0.191743,0.228045,0.255504,0.267301,0.386202,0.380948,0.32171,0.353043,0.34809,0.329338,0.368977,0.380879,0.312856,0.320475,0.316135,0.274069,0.288158,0.268507,0.266146,0.273275,0.259649,0.307305,0.320662,0.304274,0.287257,0.299497
Korea Rep.,11.4868,10.3569,10.3793,10.2029,9.73304,9.61647,10.0392,9.74137,9.77763,9.50631,9.52093,8.57732,7.88183,9.35742,8.86812,8.31107,7.70668,7.28486,6.49814,6.03946,5.76037,5.556,5.28083,4.62885,4.42697,4.3703,4.05661,3.78108,3.60841,3.60874,3.53765,3.54906,3.06757,2.90324,2.60281,2.31937,2.18166,2.14333,1.80081,1.78261,1.66819,1.34803,1.20766,1.16664,1.01966,0.871122,0.793962,0.77411,0.651714,0.561315,0.501837
Lao PDR,0.292983,0.289009,0.283725,0.277467,0.268062,0.247606,0.249652,0.201001,0.212273,0.164909,0.180346,0.180646,0.138194,0.12519,0.101481,0.0775332,0.0632888,0.0602465,0.0619615,0.0579008,0.055292,0.0569253,0.0521911,0.0537139,0.0552639,0.0548401,0.051254,0.0516096,0.046469,0.0453436,0.0575273,0.0698891,0.0730485,0.0738086,0.0723078,0.0830523,0.0982346,0.177373,0.171915,0.152864,0.213041,0.121884,0.066042,0.127893,0.0963021,0.0754779,0.0741177,0.0645674,0.0594737,0.052409,0.0380586
Latin America & Caribbean (all income levels),2.91275,2.76983,2.88703,2.81248,2.71353,2.70117,2.61179,2.58456,2.57696,2.59503,2.57416,2.63872,2.61902,2.51188,2.42603,2.3636,2.39134,2.33013,2.29989,2.30177,2.29787,2.43616,2.34512,2.3349,2.26756,2.22817,2.20986,2.2406,2.38454,2.37354,2.4502,2.38383,2.27751,2.16326,2.11731,2.06965,2.08099,2.01509,1.89178,1.84775,1.79619,1.66933,1.58201,1.52086,1.45361,1.41816,1.40676,1.33591,1.37279,1.33105,1.3387
Latin America & Caribbean (developing only),2.73456,2.5988,2.71991,2.63829,2.57315,2.57193,2.47762,2.46616,2.45771,2.48259,2.44818,2.50949,2.50309,2.39462,2.31493,2.26535,2.30324,2.25101,2.212,2.21471,2.21501,2.362,2.28208,2.28029,2.21278,2.16352,2.14885,2.18469,2.32174,2.2982,2.35743,2.28993,2.19019,2.0577,2.01508,1.98003,1.98288,1.9066,1.78145,1.73699,1.70164,1.59502,1.51118,1.45275,1.38638,1.34626,1.34433,1.28256,1.29509,1.27235,1.29219
Least developed countries: UN classification,0.255491,0.248291,0.234361,0.238498,0.230835,0.21151,0.21602,0.187308,0.18521,0.177271,0.168565,0.163357,0.153953,0.167997,0.17048,0.162228,0.140867,0.138232,0.150968,0.144896,0.146693,0.150579,0.155222,0.151609,0.148176,0.150722,0.148022,0.146447,0.145641,0.148149,0.15244,0.149549,0.143245,0.139278,0.137642,0.146101,0.153838,0.15819,0.148503,0.150985,0.150535,0.149226,0.159271,0.1187,0.115836,0.115321,0.103942,0.0959773,0.10176,0.0930789,0.097955
Lebanon,4.70001,4.92511,3.97878,3.61668,3.55391,4.07458,4.36871,4.93788,4.56236,4.8273,4.74557,5.25881,5.19548,5.05933,4.49332,4.48975,4.28381,4.0186,4.02453,3.45054,3.3658,3.00718,2.86919,2.98061,2.89822,3.00995,2.64381,2.76066,2.32228,2.42807,2.37167,2.36429,2.19327,2.13726,2.35683,2.49716,2.84769,2.88727,2.364,2.25919,1.6999,1.8884,1.64197,1.61528,1.67506,1.57907,1.59887,1.513,1.46849,1.42188,1.412
Liberia,0.201973,0.13818,0.156756,0.1926,0.224259,0.226539,0.1969,0.170191,0.163606,0.167528,0.150891,0.148459,0.15195,0.150383,0.156838,0.160437,0.158002,0.160837,0.142799,0.13844,0.230182,0.312302,0.376765,0.348967,0.330665,0.328745,0.323683,0.337552,0.29533,0.98881,1.07925,1.06347,0.848996,0.854911,0.881734,0.911878,1.08904,0.962691,1.00653,1.04648,1.02282,0.919861,0.655381,0.465653,0.477197,0.444851,0.39543,0.297261,0.21621,0.140928,0.147294
Libya,9.77302,11.3465,10.2763,9.37535,9.45886,9.31424,9.14453,9.06706,8.95672,9.14679,9.102,8.76116,9.07812,9.13334,9.12855,9.69346,9.48169,8.54476,8.35582,9.83219,8.63419,8.96945,8.95929,8.22019,8.83589,8.40343,7.92221,8.7406,9.20397,8.9838,8.74027,8.80218,7.46858,7.34799,6.80523,4.57364,3.8407,6.23718,6.77829,10.0237,15.5768,17.814,15.7012,10.0204,1.47899,0.593443,0.402592,0.920931,0.684552,0.808507,0.48519
Low & middle income,2.99742,2.88695,2.78407,2.69186,2.5893,2.45262,2.34646,2.16492,1.97093,1.93933,1.91835,1.89483,1.8852,1.96777,1.99041,1.95296,1.90074,1.89166,1.87782,1.84533,1.80712,1.83643,1.81922,1.75462,1.69533,1.65597,1.59385,1.54725,1.52038,1.46491,1.48539,1.50644,1.47659,1.39789,1.32481,1.2747,1.21282,1.19885,1.14585,1.11413,1.04903,0.9341,0.864524,0.80962,0.84293,0.80204,0.760246,0.739376,0.731454,0.777705,0.898455
Lower middle income,1.56531,1.55692,1.5228,1.43404,1.37384,1.34407,1.32407,1.28932,1.24213,1.23239,1.22666,1.18685,1.14796,1.17622,1.18695,1.14782,1.14285,1.19641,1.24507,1.17162,1.11288,1.07776,1.07714,1.02415,1.00035,0.971277,0.929125,0.910635,0.89268,0.867369,0.840141,0.834919,0.789271,0.783378,0.700719,0.681707,0.669646,0.654478,0.624736,0.606905,0.581729,0.547547,0.541781,0.50056,0.504972,0.492171,0.454086,0.448415,0.423834,0.403903,0.381911
Luxembourg,21.3603,20.5898,22.0853,22.6441,24.0284,24.8168,24.599,21.9307,21.1057,19.9327,18.8855,17.8548,17.3205,18.9273,20.37,20.353,25.2915,27.1421,26.9386,27.422,26.1977,25.6136,23.9099,23.3521,24.4596,24.9996,24.3967,22.6767,24.2377,25.8138,30.2806,33.4102,32.7289,30.2405,32.8243,32.9974,40.5895,40.4317,38.9341,38.5525,40.5329,39.0929,36.5335,33.912,34.8035,36.8138,37.5483,35.3236,36.0126,36.5838,36.6852
Macao SAR China,1.92738,2.49567,2.3482,2.84762,3.40097,3.92432,3.76663,3.409,3.43459,3.85048,3.78665,3.6028,3.73871,3.64002,3.49298,3.1198,3.27592,3.08567,2.87304,2.95755,2.8746,2.95703,2.87071,3.01175,2.83422,2.47585,2.13294,2.51059,1.85514,2.12236,2.14448,1.70472,1.70904,1.26381,1.0289,1.19666,1.06841,0.88468,0.908523,0.895514,0.818145,0.687628,0.711351,0.726113,0.693249,0.638017,0.649772,0.563547,0.526679,0.397825,0.299424
Madagascar,0.0955042,0.0889211,0.0975325,0.0937052,0.0894052,0.0952317,0.101773,0.098664,0.0738394,0.107283,0.119013,0.126135,0.117521,0.118742,0.101695,0.0975866,0.100957,0.0846865,0.0852172,0.0903015,0.0854358,0.0863936,0.122034,0.125664,0.114679,0.108381,0.0989006,0.070144,0.109763,0.114294,0.184471,0.131889,0.123284,0.105468,0.127411,0.223628,0.161422,0.15022,0.185133,0.15188,0.147766,0.132919,0.146499,0.138895,0.0979013,0.0966134,0.0860461,0.0842129,0.0739884,0.0680943,0.0783828
Mali,0.0445726,0.0451638,0.0452154,0.0455291,0.0461144,0.0475984,0.0487964,0.0480447,0.0508807,0.0517273,0.0528933,0.0540275,0.053236,0.0554182,0.0528847,0.0522176,0.0527479,0.0532736,0.0533126,0.0536713,0.052951,0.053414,0.0499196,0.0471981,0.0507491,0.0549664,0.0599311,0.0585006,0.0523524,0.0576848,0.0582561,0.0648579,0.0609034,0.064782,0.0541902,0.0550838,0.0499801,0.0446908,0.0416909,0.039189,0.0352825,0.0286183,0.0355785,0.040681,0.0350834,0.0368452,0.0331116,0.0334651,0.0267703,0.0227772,0.0237326
Malta,6.24572,6.05422,6.25231,6.69884,6.3513,6.68322,6.41525,6.47688,5.80654,6.32582,5.41353,6.18642,5.68239,6.72349,6.03153,5.74155,6.62757,7.31984,5.65388,5.80197,6.15015,6.1897,5.79625,5.38631,4.34096,3.56398,4.12629,3.01771,4.02821,3.58674,3.23104,2.89061,3.01463,2.61613,2.49444,2.19377,2.46494,2.66956,2.77647,2.18057,2.19305,2.14501,2.07229,1.67137,1.31463,1.48382,1.55241,1.2733,1.01893,0.901952,1.04435
Mauritania,0.613635,0.628883,0.590294,0.574821,0.517593,0.532655,0.534071,0.497067,0.498291,0.483433,0.456328,0.456327,0.435673,1.21161,1.24786,1.27868,1.37789,1.34498,1.37537,1.32136,1.31704,1.44684,1.68559,1.76109,0.205968,0.371452,0.503487,0.559518,0.544036,0.420434,0.411125,0.405848,0.402473,0.395976,0.378061,0.383626,0.375012,0.374353,0.367328,0.337884,0.373423,0.246475,0.216573,0.188166,0.17582,0.162572,0.121743,0.0940112,0.0685564,0.0539652,0.0427232
