Country,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
Barbados,5.36195,5.82239,5.89078,5.16316,4.98852,4.9462,4.75543,4.68455,4.55783,4.55136,4.44668,4.54553,4.29754,3.40915,3.22393,3.14913,2.85042,4.25949,3.75183,4.63704,4.14301,3.83098,3.67416,3.67415,3.58876,3.33031,2.95454,2.72137,2.57354,2.74626,2.7121,2.42402,2.54743,2.38892,2.15674,2.31368,2.01011,1.9771,2.08139,2.01799,1.79803,2.02111,1.85673,1.42669,1.13459,0.872746,0.766311,0.816564,1.11975,0.83917,0.746558
Belgium,9.97654,9.65074,9.6996,9.71372,10.1284,10.3568,10.6785,11.0673,10.4068,11.1569,11.2873,11.3279,11.6813,11.4225,11.778,11.1452,11.2012,10.8012,11.386,11.7526,10.8825,10.8135,10.1351,10.4472,10.4308,10.5948,10.6962,10.3113,11.9267,12.5788,13.7226,14.2392,13.8071,12.8754,13.2417,12.4583,13.837,14.2555,13.4727,12.5634,13.0102,12.8154,12.3257,11.2173,11.042,11.1417,11.0537,11.3869,10.6412,10.1039,9.94159
Belize,1.36653,1.37657,1.38663,1.4863,1.45899,1.45644,1.43891,1.4478,1.42738,2.90132,2.88951,2.59375,1.64547,1.77909,1.4504,1.82498,1.84847,1.90354,1.82509,1.87788,1.66191,1.63984,1.39378,1.30476,1.21118,1.15625,1.07488,1.10608,1.13763,1.24249,1.32281,1.47917,1.55681,1.44548,1.30242,1.32084,1.17294,1.13447,1.24014,1.14601,0.99044,1.13767,0.884673,1.07375,0.7378,0.794763,0.818289,0.622357,0.715409,0.387219,0.477951
Benin,0.545627,0.514686,0.500605,0.516729,0.459044,0.293096,0.317047,0.302806,0.276951,0.242255,0.232704,0.231755,0.185409,0.191383,0.204833,0.221772,0.218621,0.202977,0.16841,0.159911,0.142977,0.132691,0.119745,0.118573,0.156999,0.173631,0.123291,0.114216,0.127788,0.112249,0.139065,0.10134,0.103039,0.0865397,0.077823,0.135983,0.127816,0.122623,0.127892,0.0987099,0.097105,0.0708499,0.0552308,0.0523196,0.0423949,0.0571149,0.055295,0.0475797,0.0542015,0.0520458,0.0663541
Bermuda,7.32004,7.09533,5.95502,7.9683,8.07021,6.91628,10.5281,8.04916,8.33515,7.92021,8.00616,8.07775,7.58154,7.87989,7.92812,7.79481,7.97443,8.15442,6.94662,8.63613,10.0752,13.3366,11.1241,9.9521,7.41299,7.92719,7.86394,8.06438,7.14235,7.06089,7.98195,8.58814,7.93604,8.51513,8.82286,8.64858,8.30912,7.90654,4.66832,4.23115,4.13371,3.667,4.22051,4.09012,3.95461,3.58649,4.12444,3.15193,3.38371,3.86848,3.55137
Bolivia,1.52181,1.44171,1.40056,1.31841,1.56661,1.3175,1.42408,1.56696,1.08185,1.13321,1.20345,1.23902,1.26699,1.23359,1.11885,1.23428,1.19338,1.1022,0.933314,0.830733,0.810146,0.752669,0.664777,0.636534,0.610728,0.682924,0.684906,0.744514,0.772707,0.87187,0.869469,0.903503,0.981617,0.895862,0.937718,0.851346,0.755715,0.761637,0.80639,0.708566,0.589538,0.619011,0.54173,0.481719,0.440442,0.402769,0.404046,0.338592,0.313828,0.303777,0.299648
Brazil,2.15027,1.89749,2.02161,1.91168,1.84798,1.86582,1.83591,1.76955,1.85217,1.90675,1.87951,1.8614,1.84271,1.80049,1.73234,1.59581,1.51885,1.46957,1.42761,1.44151,1.39585,1.45517,1.44936,1.46388,1.43058,1.33053,1.26576,1.27731,1.35014,1.37874,1.5368,1.58355,1.52311,1.43635,1.40021,1.39683,1.35729,1.2832,1.13441,1.04275,0.976069,0.899748,0.84727,0.743305,0.741503,0.668392,0.691757,0.698334,0.694763,0.656155,0.644558
Brunei Darussalam,22.8679,23.0582,27.2745,26.6777,12.8693,13.9376,14.8592,15.1492,15.36,18.2748,19.6722,14.1707,18.866,18.7548,18.498,18.6953,18.8218,19.9838,21.36,22.0021,24.991,25.4164,23.5496,14.0631,10.0221,11.6402,8.84266,12.8304,10.2113,7.38453,35.6539,39.8352,52.9057,36.7928,36.0178,44.0384,53.0145,67.4166,66.707,55.394,63.2938,3.93744,3.63082,3.90556,4.57351,3.25507,3.48261,3.79854,4.13379,3.55234,4.07858
Bulgaria,6.04126,5.74991,6.77894,6.99931,6.3571,6.18992,6.01289,6.04686,5.67261,5.79201,5.32803,5.35672,5.93433,6.20985,6.76324,6.90033,6.43624,8.03533,6.37676,6.7394,8.69022,9.77126,9.71884,10.2141,10.2173,9.99278,9.74996,10.1083,10.1073,9.03643,8.74424,8.96813,9.23653,8.62877,8.34795,8.37788,8.21096,7.98355,7.71566,7.53255,7.21342,7.86993,7.11221,6.63837,5.90544,5.64565,5.26299,4.25978,3.83589,3.26992,2.8339
Burkina Faso,0.108309,0.11029,0.115816,0.115664,0.0984251,0.0838754,0.084682,0.085164,0.0817116,0.0834938,0.0897168,0.0825583,0.0785702,0.0756438,0.0682311,0.0621471,0.0657451,0.0656434,0.0678408,0.0692874,0.0665892,0.0957372,0.0662634,0.0635187,0.0605719,0.0616868,0.0618369,0.0809238,0.0804273,0.0797955,0.0634202,0.0610099,0.0533417,0.0389683,0.0333149,0.0357492,0.0339984,0.0284432,0.0276984,0.0262689,0.0254264,0.0218899,0.018895,0.0192168,0.0195337,0.0198413,0.0215753,0.0175042,0.0170031,0.0187299,0.0091119
Cambodia,0.291013,0.28648,0.285142,0.253406,0.221291,0.207834,0.186008,0.183997,0.173694,0.180519,0.161706,0.158509,0.166948,0.135148,0.145812,0.144035,0.0516812,0.0473048,0.0490353,0.0492677,0.0497984,0.0514378,0.0529962,0.0527591,0.0538848,0.0537515,0.0547654,0.0508765,0.0485898,0.0444705,0.0426951,0.00432956,0.00736814,0.010166,0.00986983,0.00970629,0.00969168,0.0171506,0.015999,0.0347839,0.16712,0.195027,0.07233,0.0624555,0.0712593,0.0623929,0.0539001,0.0629095,0.0511311,0.048728,0.0410292
Cameroon,0.350799,0.331972,0.282955,0.305493,0.205693,0.203793,0.223859,0.220361,0.203649,0.209249,0.215493,0.198553,0.21238,0.218633,0.321443,0.313271,0.281786,0.295994,0.296585,0.0893862,0.144002,0.651906,0.19447,0.1682,0.187437,0.623819,0.601531,0.674434,0.669144,0.580669,0.437226,0.210964,0.237628,0.191236,0.137291,0.150182,0.129543,0.122602,0.120788,0.116625,0.0942344,0.0866683,0.0786133,0.072981,0.0562222,0.0520561,0.0576646,0.0525768,0.0517885,0.051577,0.0506136
Canada,14.6782,15.2828,16.3923,17.0519,16.8936,17.4261,17.2636,17.4639,16.5539,16.9131,17.3705,16.8993,17.0993,16.1147,15.7686,15.6636,15.6119,16.5752,16.3975,15.9399,16.195,16.0842,16.1495,15.5086,14.7772,15.4905,15.8242,15.602,15.8831,16.7109,17.4256,17.6163,16.8841,16.7328,16.9792,17.1116,17.1234,17.06,17.3294,16.2901,16.0141,14.6186,14.6326,13.8104,12.9349,12.814,12.3054,11.1321,11.1306,10.6279,10.7708
Cape Verde,0.729488,0.641725,0.635567,0.64438,0.639142,0.612889,0.55751,0.541876,0.535107,0.46365,0.422708,0.396964,0.361593,0.342495,0.340874,0.284565,0.282436,0.270841,0.278351,0.254906,0.250051,0.233021,0.214346,0.237988,0.17487,0.254833,0.259659,0.115512,0.118255,0.108408,0.401242,0.825319,0.684494,0.260567,0.234676,0.246491,0.21382,0.206442,0.175085,0.129124,0.133139,0.136923,0.112464,0.0720798,0.0886999,0.10622,0.124734,0.0641033,0.0823212,0.101322,0.103662
Caribbean small states,9.89375,9.68207,9.31519,10.2302,7.87645,7.20195,7.64453,7.14075,6.98787,6.85209,6.73945,6.4388,5.86793,5.94318,6.34147,6.19414,5.82975,5.34259,5.98826,6.09351,5.3659,5.04918,4.61267,4.99061,4.79022,5.53552,5.05236,5.0635,5.6606,5.90031,7.11205,6.94691,6.93753,7.29203,6.63194,6.08666,5.74097,6.03651,5.09084,5.04477,4.27013,3.06775,2.93207,2.97284,2.52854,2.60355,2.36577,1.35251,2.70928,2.06435,1.40393
Cayman Islands,10.6359,10.8101,11.9202,11.8975,10.3356,10.5584,10.5438,10.4357,10.4907,10.4972,10.9082,10.5929,11.2705,11.4349,11.5909,11.5781,12.201,11.6466,11.3749,10.4927,10.1173,10.9504,10.0871,10.137,10.1388,10.0622,10.0856,9.62252,9.50712,9.38857,10.2088,6.1722,6.50222,5.29913,5.35123,4.79425,4.78554,5.44015,5.42616,4.59188,4.01028,4.9829,2.54889,1.722,2.17188,1.31418,1.32558,1.33702,1.35114,1.37067,1.39837
Central African Republic,0.0606963,0.0550104,0.056077,0.0571448,0.056386,0.0536964,0.0546246,0.0612821,0.0652171,0.0663299,0.0735755,0.0739662,0.0712825,0.0717396,0.0700499,0.0716453,0.0733255,0.0715765,0.0709171,0.0689196,0.0679815,0.0874441,0.0826499,0.0949963,0.06011,0.061513,0.0588227,0.0590404,0.059314,0.0579813,0.0467629,0.0463759,0.0679393,0.0608692,0.0622544,0.0508957,0.0575313,0.083284,0.0887489,0.0983244,0.114299,0.104353,0.104457,0.0533441,0.0501172,0.053376,0.0453692,0.046249,0.0471138,0.0575506,0.0585354
